Date,Open,High,Low,Close
06/22/2022,"1.63271%","1.63271%","1.63271%","1.63271%"
06/21/2022,"1.64157%","1.64157%","1.64157%","1.64157%"
06/20/2022,"1.62629%","1.62629%","1.62629%","1.62629%"
06/17/2022,"1.61229%","1.61229%","1.61229%","1.61229%"
06/16/2022,"1.59514%","1.59514%","1.59514%","1.59514%"
06/15/2022,"1.52343%","1.52343%","1.52343%","1.52343%"
06/14/2022,"1.50929%","1.50929%","1.50929%","1.50929%"
06/13/2022,"1.32400%","1.32400%","1.32400%","1.32400%"
06/10/2022,"1.28214%","1.28214%","1.28214%","1.28214%"
06/09/2022,"1.25471%","1.25471%","1.25471%","1.25471%"
06/08/2022,"1.19971%","1.19971%","1.19971%","1.19971%"
06/07/2022,"1.19029%","1.19029%","1.19029%","1.19029%"
06/06/2022,"1.15971%","1.15971%","1.15971%","1.15971%"
06/03/2022,"1.11971%","1.11971%","1.11971%","1.11971%"
06/02/2022,"1.11971%","1.11971%","1.11971%","1.11971%"
06/01/2022,"1.11971%","1.11971%","1.11971%","1.11971%"
05/31/2022,"1.11986%","1.11986%","1.11986%","1.11986%"
05/30/2022,"1.06157%","1.06157%","1.06157%","1.06157%"
05/27/2022,"1.06171%","1.06171%","1.06171%","1.06171%"
05/26/2022,"1.05957%","1.05957%","1.05957%","1.05957%"
05/25/2022,"1.02300%","1.02300%","1.02300%","1.02300%"
05/24/2022,"1.01657%","1.01657%","1.01657%","1.01657%"
05/23/2022,"1.00571%","1.00571%","1.00571%","1.00571%"
05/20/2022,"0.97357%","0.97357%","0.97357%","0.97357%"
05/19/2022,"0.96071%","0.96071%","0.96071%","0.96071%"
05/18/2022,"0.92729%","0.92729%","0.92729%","0.92729%"
05/17/2022,"0.92843%","0.92843%","0.92843%","0.92843%"
05/16/2022,"0.93557%","0.93557%","0.93557%","0.93557%"
05/13/2022,"0.88671%","0.88671%","0.88671%","0.88671%"
05/12/2022,"0.87471%","0.87471%","0.87471%","0.87471%"
05/11/2022,"0.85414%","0.85414%","0.85414%","0.85414%"
05/10/2022,"0.84314%","0.84314%","0.84314%","0.84314%"
05/09/2022,"0.84443%","0.84443%","0.84443%","0.84443%"
05/06/2022,"0.84214%","0.84214%","0.84214%","0.84214%"
05/05/2022,"0.84486%","0.84486%","0.84486%","0.84486%"
05/04/2022,"0.84514%","0.84514%","0.84514%","0.84514%"
05/03/2022,"0.83171%","0.83171%","0.83171%","0.83171%"
05/02/2022,"0.80329%","0.80329%","0.80329%","0.80329%"
04/29/2022,"0.80329%","0.80329%","0.80329%","0.80329%"
04/28/2022,"0.80000%","0.80000%","0.80000%","0.80000%"
04/27/2022,"0.76371%","0.76371%","0.76371%","0.76371%"
04/26/2022,"0.74871%","0.74871%","0.74871%","0.74871%"
04/25/2022,"0.69800%","0.69800%","0.69800%","0.69800%"
04/22/2022,"0.70343%","0.70343%","0.70343%","0.70343%"
04/21/2022,"0.66786%","0.66786%","0.66786%","0.66786%"
04/20/2022,"0.63157%","0.63157%","0.63157%","0.63157%"
04/19/2022,"0.62471%","0.62471%","0.62471%","0.62471%"
04/14/2022,"0.59443%","0.59443%","0.59443%","0.59443%"
04/13/2022,"0.55414%","0.55414%","0.55414%","0.55414%"
04/12/2022,"0.55129%","0.55129%","0.55129%","0.55129%"
04/11/2022,"0.52457%","0.52457%","0.52457%","0.52457%"
04/08/2022,"0.51400%","0.51400%","0.51400%","0.51400%"
04/07/2022,"0.48814%","0.48814%","0.48814%","0.48814%"
04/06/2022,"0.45143%","0.45143%","0.45143%","0.45143%"
04/05/2022,"0.44600%","0.44600%","0.44600%","0.44600%"
04/04/2022,"0.42857%","0.42857%","0.42857%","0.42857%"
04/01/2022,"0.43757%","0.43757%","0.43757%","0.43757%"
03/31/2022,"0.45200%","0.45200%","0.45200%","0.45200%"
03/30/2022,"0.45514%","0.45514%","0.45514%","0.45514%"
03/29/2022,"0.45743%","0.45743%","0.45743%","0.45743%"
03/28/2022,"0.44943%","0.44943%","0.44943%","0.44943%"
03/25/2022,"0.44514%","0.44514%","0.44514%","0.44514%"
03/24/2022,"0.44714%","0.44714%","0.44714%","0.44714%"
03/23/2022,"0.45657%","0.45657%","0.45657%","0.45657%"
03/22/2022,"0.45486%","0.45486%","0.45486%","0.45486%"
03/21/2022,"0.44400%","0.44400%","0.44400%","0.44400%"
03/18/2022,"0.44657%","0.44657%","0.44657%","0.44657%"
03/17/2022,"0.44857%","0.44857%","0.44857%","0.44857%"
03/16/2022,"0.46757%","0.46757%","0.46757%","0.46757%"
03/15/2022,"0.44143%","0.44143%","0.44143%","0.44143%"
03/14/2022,"0.43057%","0.43057%","0.43057%","0.43057%"
03/11/2022,"0.39657%","0.39657%","0.39657%","0.39657%"
03/10/2022,"0.38700%","0.38700%","0.38700%","0.38700%"
03/09/2022,"0.35171%","0.35171%","0.35171%","0.35171%"
03/08/2022,"0.32114%","0.32114%","0.32114%","0.32114%"
03/07/2022,"0.30629%","0.30629%","0.30629%","0.30629%"
03/04/2022,"0.31014%","0.31014%","0.31014%","0.31014%"
03/03/2022,"0.28914%","0.28914%","0.28914%","0.28914%"
03/02/2022,"0.24243%","0.24243%","0.24243%","0.24243%"
03/01/2022,"0.23457%","0.23457%","0.23457%","0.23457%"
02/28/2022,"0.24143%","0.24143%","0.24143%","0.24143%"
02/25/2022,"0.23057%","0.23057%","0.23057%","0.23057%"
02/24/2022,"0.20857%","0.20857%","0.20857%","0.20857%"
02/23/2022,"0.18686%","0.18686%","0.18686%","0.18686%"
02/22/2022,"0.17586%","0.17586%","0.17586%","0.17586%"
02/21/2022,"0.16200%","0.16200%","0.16200%","0.16200%"
02/18/2022,"0.17071%","0.17071%","0.17071%","0.17071%"
02/17/2022,"0.16171%","0.16171%","0.16171%","0.16171%"
02/16/2022,"0.13671%","0.13671%","0.13671%","0.13671%"
02/15/2022,"0.11971%","0.11971%","0.11971%","0.11971%"
02/14/2022,"0.12571%","0.12571%","0.12571%","0.12571%"
02/11/2022,"0.19114%","0.19114%","0.19114%","0.19114%"
02/10/2022,"0.12371%","0.12371%","0.12371%","0.12371%"
02/09/2022,"0.12271%","0.12271%","0.12271%","0.12271%"
02/08/2022,"0.12571%","0.12571%","0.12571%","0.12571%"
02/07/2022,"0.12471%","0.12471%","0.12471%","0.12471%"
02/04/2022,"0.11529%","0.11529%","0.11529%","0.11529%"
02/03/2022,"0.11129%","0.11129%","0.11129%","0.11129%"
02/02/2022,"0.10814%","0.10814%","0.10814%","0.10814%"
02/01/2022,"0.11300%","0.11300%","0.11300%","0.11300%"
01/31/2022,"0.10686%","0.10686%","0.10686%","0.10686%"
01/28/2022,"0.10629%","0.10629%","0.10629%","0.10629%"
01/27/2022,"0.10500%","0.10500%","0.10500%","0.10500%"
01/26/2022,"0.10914%","0.10914%","0.10914%","0.10914%"
01/25/2022,"0.10786%","0.10786%","0.10786%","0.10786%"
01/24/2022,"0.10843%","0.10843%","0.10843%","0.10843%"
01/21/2022,"0.10771%","0.10771%","0.10771%","0.10771%"
01/20/2022,"0.10929%","0.10929%","0.10929%","0.10929%"
01/19/2022,"0.10914%","0.10914%","0.10914%","0.10914%"
01/18/2022,"0.10371%","0.10371%","0.10371%","0.10371%"
01/17/2022,"0.10300%","0.10300%","0.10300%","0.10300%"
01/14/2022,"0.10329%","0.10329%","0.10329%","0.10329%"
01/13/2022,"0.10629%","0.10629%","0.10629%","0.10629%"
01/12/2022,"0.11014%","0.11014%","0.11014%","0.11014%"
01/11/2022,"0.11300%","0.11300%","0.11300%","0.11300%"
01/10/2022,"0.10400%","0.10400%","0.10400%","0.10400%"
01/07/2022,"0.10529%","0.10529%","0.10529%","0.10529%"
01/06/2022,"0.10414%","0.10414%","0.10414%","0.10414%"
01/05/2022,"0.10200%","0.10200%","0.10200%","0.10200%"
01/04/2022,"0.10371%","0.10371%","0.10371%","0.10371%"
01/03/2022,"0.10125%","0.10125%","0.10125%","0.10125%"
